Time,Winter,Spring,Summer,Fall,Outdoor Temp (°C),Humidity (%),Cloud Cover (%),Occupancy,Special Equipment [kW],Lighting [kW],HVAC [kW],Use [kW]
01/01/2025 00:00,1,0,0,0,26.183,57.533,44.025,413.636,115.266,20.694,75.992,211.952
01/01/2025 01:00,1,0,0,0,13.475,70.023,75.524,403.1,107.057,21.748,62.564,191.369
01/01/2025 02:00,1,0,0,0,34.269,77.951,16.993,402.374,86.604,16.12,17.046,119.77
01/01/2025 03:00,1,0,0,0,21.024,76.538,68.316,405.405,94.154,15.176,60.392,169.722
01/01/2025 04:00,1,0,0,0,22.578,59.373,58.509,272.021,116.607,13.771,42.178,172.556
01/01/2025 05:00,1,0,0,0,33.164,62.765,59.654,469.207,97.576,16.756,77.463,191.795
01/01/2025 06:00,1,0,0,0,8.665,69.853,18.766,428.219,100.447,12.819,72.296,185.562
01/01/2025 07:00,1,0,0,0,22.706,55.014,62.304,348.091,99.221,10.053,49.94,159.214
01/01/2025 08:00,1,0,0,0,19.828,73.569,34.639,360.523,102.085,7.753,55.82,165.658
01/01/2025 09:00,1,0,0,0,18.92,63.31,84.451,632.973,113.626,21.952,24.083,159.661
01/01/2025 10:00,1,0,0,0,9.07,51.412,63.475,572.675,136.209,30.763,54.528,221.5
01/01/2025 11:00,1,0,0,0,33.86,62.99,38.905,142.12,119.718,12.987,67.71,200.415
01/01/2025 12:00,1,0,0,0,18.895,61.863,86.239,382.629,105.397,18.494,32.226,156.117
01/01/2025 13:00,1,0,0,0,23.502,72.903,28.154,573.988,104.514,14.413,32.136,151.063
01/01/2025 14:00,1,0,0,0,30.796,55.401,75.018,611.092,119.178,17.413,43.105,179.696
01/01/2025 15:00,1,0,0,0,24.372,69.138,63.972,334.901,101.156,20.824,66.539,188.519
01/01/2025 16:00,1,0,0,0,25.552,64.154,66.556,572.474,99.73,16.9,48.127,164.757
01/01/2025 17:00,1,0,0,0,9.565,67.227,26.744,280.937,102.43,11.673,54.491,168.594
01/01/2025 18:00,1,0,0,0,6.433,64.07,78.304,349.186,106.553,12.731,56.534,175.818
01/01/2025 19:00,1,0,0,0,7.359,74.849,42.855,250.326,55.916,22.433,13.113,91.462
01/01/2025 20:00,1,0,0,0,18.477,64.932,71.848,140.318,88.726,19.241,43.731,151.698
01/01/2025 21:00,1,0,0,0,9.195,51.816,51.237,272.984,75.42,8.293,29.721,113.434
01/01/2025 22:00,1,0,0,0,24.389,65.967,50.207,157.152,94.519,22.724,91.265,208.508
01/01/2025 23:00,1,0,0,0,29.55,84.279,51.534,407.658,91.562,19.209,53.306,164.077
02/01/2025 00:00,1,0,0,0,38.628,72.354,66.105,369.502,92.86,14.424,66.009,173.293
02/01/2025 01:00,1,0,0,0,19.651,55.04,64.247,350.831,102.225,15.028,57.762,175.015
02/01/2025 02:00,1,0,0,0,17.929,60.272,60.3,345.303,96.265,10.981,58.593,165.839
02/01/2025 03:00,1,0,0,0,19.576,64.151,31.11,314.369,120.029,17.779,52.165,189.973
02/01/2025 04:00,1,0,0,0,9.019,66.52,88.616,378.327,96.493,18.935,54.07,169.498
02/01/2025 05:00,1,0,0,0,22.032,63.008,60.524,348.226,99.389,17.51,43.898,160.797
02/01/2025 06:00,1,0,0,0,15.514,64.234,78.21,302.643,107.396,10.959,81.696,200.051
02/01/2025 07:00,1,0,0,0,33.144,53.902,93.865,237.752,113.327,9.683,49.874,172.884
02/01/2025 08:00,1,0,0,0,21.882,52.287,23.601,358.01,90.651,19.843,22.514,133.008
02/01/2025 09:00,1,0,0,0,27.033,65.417,29.702,803.063,116.859,8.965,67.609,193.433
02/01/2025 10:00,1,0,0,0,17.627,61.329,29.013,488.755,155.093,24.587,66.264,245.944
02/01/2025 11:00,1,0,0,0,15.744,61.331,52.872,430.981,100.933,0.0,64.685,165.618
02/01/2025 12:00,1,0,0,0,28.278,78.406,55.066,665.409,119.026,17.884,93.447,230.357
02/01/2025 13:00,1,0,0,0,14.965,71.329,60.764,417.938,113.835,7.734,32.046,153.615
02/01/2025 14:00,1,0,0,0,23.211,70.299,53.655,497.148,135.448,21.369,24.388,181.205
02/01/2025 15:00,1,0,0,0,10.44,56.472,59.122,409.15,150.863,8.217,54.803,213.883
02/01/2025 16:00,1,0,0,0,6.099,46.163,49.819,491.564,137.654,8.086,41.786,187.526
02/01/2025 17:00,1,0,0,0,10.769,58.525,55.996,305.84,101.732,17.467,51.201,170.4
02/01/2025 18:00,1,0,0,0,31.395,57.504,60.473,378.851,98.608,20.034,18.742,137.384
02/01/2025 19:00,1,0,0,0,23.716,68.608,77.035,289.335,88.348,15.828,53.648,157.824
02/01/2025 20:00,1,0,0,0,12.043,64.088,69.144,177.262,104.548,8.15,50.041,162.739
02/01/2025 21:00,1,0,0,0,2.729,74.306,80.307,279.958,70.822,21.79,47.001,139.613
02/01/2025 22:00,1,0,0,0,30.011,67.502,58.022,284.022,75.049,15.181,18.31,108.54
02/01/2025 23:00,1,0,0,0,34.748,70.338,33.381,439.456,107.605,20.41,30.648,158.663
03/01/2025 00:00,1,0,0,0,28.771,66.588,38.484,319.916,108.48,10.758,40.341,159.579
03/01/2025 01:00,1,0,0,0,0.0,72.816,78.386,316.966,86.253,21.291,73.342,180.886
03/01/2025 02:00,1,0,0,0,11.072,71.031,28.108,386.442,91.273,22.328,24.973,138.574
