Time,Winter,Spring,Summer,Fall,Outdoor Temp (°C),Humidity (%),Cloud Cover (%),Occupancy,Special Equipment [kW],Lighting [kW],HVAC [kW],Use [kW]
01/01/2025 00:00,1,0,0,0,16.714,47.379,65.013,1.046,0.9,0.357,0.605,1.862
01/01/2025 01:00,1,0,0,0,18.351,73.127,56.957,1.996,0.608,0.25,0.824,1.682
01/01/2025 02:00,1,0,0,0,18.632,62.356,78.216,1.378,0.753,0.287,0.541,1.581
01/01/2025 03:00,1,0,0,0,19.789,58.803,59.879,1.651,0.686,0.092,1.017,1.795
01/01/2025 04:00,1,0,0,0,6.693,73.905,44.041,0.844,0.976,0.293,0.262,1.531
01/01/2025 05:00,1,0,0,0,22.808,65.917,123.007,2.013,1.017,0.13,1.22,2.367
01/01/2025 06:00,1,0,0,0,9.71,71.512,63.886,0.431,1.092,0.081,1.685,2.858
01/01/2025 07:00,1,0,0,0,11.589,60.887,89.657,1.081,1.074,0.077,0.0,1.151
01/01/2025 08:00,1,0,0,0,9.165,70.487,58.569,0.868,0.938,0.018,0.82,1.776
01/01/2025 09:00,1,0,0,0,15.597,57.904,25.989,1.127,1.297,0.061,0.79,2.148
01/01/2025 10:00,1,0,0,0,8.968,69.592,49.546,0.976,0.726,0.101,1.023,1.85
01/01/2025 11:00,1,0,0,0,24.133,64.038,32.773,1.659,1.053,0.178,0.6,1.831
01/01/2025 12:00,1,0,0,0,27.858,74.463,76.587,1.769,0.995,0.055,0.906,1.956
01/01/2025 13:00,1,0,0,0,21.98,72.106,34.22,1.484,1.1,0.091,0.486,1.677
01/01/2025 14:00,1,0,0,0,29.572,62.918,48.168,1.551,0.798,0.125,0.945,1.868
01/01/2025 15:00,1,0,0,0,20.653,61.704,58.151,1.804,0.85,0.006,1.0,1.856
01/01/2025 16:00,1,0,0,0,7.963,55.707,24.108,0.21,1.422,0.126,0.631,2.179
01/01/2025 17:00,1,0,0,0,8.252,69.273,53.684,0.542,0.875,0.077,1.885,2.837
01/01/2025 18:00,1,0,0,0,26.887,58.903,25.012,0.299,1.259,0.082,1.419,2.76
01/01/2025 19:00,1,0,0,0,17.937,72.614,41.409,0.686,0.795,0.13,1.492,2.417
01/01/2025 20:00,1,0,0,0,19.025,62.726,52.51,0.896,0.731,0.262,0.771,1.764
01/01/2025 21:00,1,0,0,0,22.209,65.533,55.124,0.878,0.802,0.224,1.276,2.302
01/01/2025 22:00,1,0,0,0,26.122,76.241,76.652,0.731,0.839,0.256,0.937,2.032
01/01/2025 23:00,1,0,0,0,7.2,55.939,53.759,1.249,0.888,0.173,0.983,2.044
02/01/2025 00:00,1,0,0,0,11.406,40.657,62.523,1.83,1.142,0.125,0.75,2.017
02/01/2025 01:00,1,0,0,0,14.717,68.544,79.484,1.365,1.03,0.146,0.518,1.694
02/01/2025 02:00,1,0,0,0,30.081,74.092,24.914,1.09,0.579,0.098,0.98,1.657
