Time,Winter,Spring,Summer,Fall,Outdoor Temp (°C),Humidity (%),Cloud Cover (%),Occupancy,Special Equipment [kW],Lighting [kW],HVAC [kW],Use [kW]
01/01/2025 00:00,1,0,0,0,29.379,77.441,15.279,1.873,12.375,0.096,15.21,27.681
01/01/2025 01:00,1,0,0,0,17.953,57.427,84.519,7.412,10.941,0.0,18.346,29.287
01/01/2025 02:00,1,0,0,0,25.571,61.999,4.587,2.94,11.542,0.141,12.944,24.627
01/01/2025 03:00,1,0,0,0,11.871,76.027,70.474,8.222,12.855,0.017,11.257,24.129
01/01/2025 04:00,1,0,0,0,22.818,65.537,65.587,2.32,9.858,0.077,0.0,9.935
01/01/2025 05:00,1,0,0,0,9.709,63.919,31.859,5.139,11.694,0.046,10.309,22.049
01/01/2025 06:00,1,0,0,0,13.982,64.084,66.95,9.524,11.823,0.036,0.0,11.859
01/01/2025 07:00,1,0,0,0,26.871,69.052,26.861,39.085,23.643,1.937,13.113,38.693
01/01/2025 08:00,1,0,0,0,18.246,61.971,80.261,247.139,20.581,3.754,1.665,26.0
01/01/2025 09:00,1,0,0,0,17.45,67.142,40.406,978.941,22.05,1.012,26.048,49.11
01/01/2025 10:00,1,0,0,0,12.611,70.666,67.946,493.894,40.871,0.0,26.452,67.323
01/01/2025 11:00,1,0,0,0,29.788,78.121,72.593,1248.746,17.242,3.825,8.855,29.922
01/01/2025 12:00,1,0,0,0,12.492,66.6,47.471,181.628,5.289,3.408,16.019,24.716
01/01/2025 13:00,1,0,0,0,17.316,70.696,93.094,145.919,18.232,3.54,5.632,27.404
01/01/2025 14:00,1,0,0,0,30.653,68.502,41.88,783.987,29.126,2.143,4.973,36.242
01/01/2025 15:00,1,0,0,0,32.549,63.324,91.584,550.119,11.953,5.391,25.129,42.473
01/01/2025 16:00,1,0,0,0,7.204,55.67,66.831,147.96,31.938,0.735,22.295,54.968
01/01/2025 17:00,1,0,0,0,24.765,72.04,50.621,0.0,18.825,1.191,16.325,36.341
01/01/2025 18:00,1,0,0,0,24.645,71.462,61.607,0.0,34.811,3.119,14.841,52.771
01/01/2025 19:00,1,0,0,0,10.942,54.336,76.435,117.847,17.738,1.285,4.808,23.831
01/01/2025 20:00,1,0,0,0,27.331,65.313,72.114,0.0,15.213,1.64,16.059,32.912
01/01/2025 21:00,1,0,0,0,36.474,72.021,29.132,79.083,15.626,3.082,10.441,29.149
01/01/2025 22:00,1,0,0,0,35.117,68.385,97.968,237.701,14.011,0.0,16.862,30.873
01/01/2025 23:00,1,0,0,0,18.699,76.404,52.299,1.964,10.955,0.093,1.277,12.325
02/01/2025 00:00,1,0,0,0,30.315,62.62,47.707,6.769,11.145,0.114,0.0,11.259
02/01/2025 01:00,1,0,0,0,12.767,71.689,61.748,5.102,12.129,0.012,24.471,36.612
02/01/2025 02:00,1,0,0,0,16.748,62.167,64.334,0.0,10.679,0.095,21.415,32.189
02/01/2025 03:00,1,0,0,0,15.734,71.864,68.347,7.192,12.009,0.106,18.983,31.098
02/01/2025 04:00,1,0,0,0,24.312,61.172,70.311,8.621,9.837,0.067,17.341,27.245
02/01/2025 05:00,1,0,0,0,11.964,73.95,46.957,5.449,10.247,0.008,6.731,16.986
02/01/2025 06:00,1,0,0,0,3.242,68.501,49.455,3.11,11.771,0.085,5.053,16.909
02/01/2025 07:00,1,0,0,0,22.823,71.01,51.699,393.425,28.303,0.0,17.289,45.592
02/01/2025 08:00,1,0,0,0,20.18,50.114,24.387,655.95,7.911,1.996,1.587,11.494
02/01/2025 09:00,1,0,0,0,23.194,72.034,80.347,93.743,25.599,0.877,24.748,51.224
02/01/2025 10:00,1,0,0,0,24.57,68.657,49.162,316.338,10.091,10.084,15.148,35.323
02/01/2025 11:00,1,0,0,0,0.0,72.34,73.415,769.274,2.666,3.161,16.859,22.686
02/01/2025 12:00,1,0,0,0,19.799,77.012,35.083,0.0,36.323,0.0,4.973,41.296
02/01/2025 13:00,1,0,0,0,12.563,74.646,57.367,0.0,42.087,3.027,15.763,60.877
02/01/2025 14:00,1,0,0,0,31.256,72.599,52.012,625.129,28.689,0.134,19.683,48.506
02/01/2025 15:00,1,0,0,0,5.237,77.539,65.585,452.214,11.958,3.86,16.15,31.968
02/01/2025 16:00,1,0,0,0,13.649,47.056,103.054,0.0,26.641,2.949,11.722,41.312
02/01/2025 17:00,1,0,0,0,9.686,65.998,71.326,811.806,12.333,3.236,18.255,33.824
02/01/2025 18:00,1,0,0,0,16.119,64.65,29.156,640.4,29.789,4.286,26.887,60.962
02/01/2025 19:00,1,0,0,0,15.397,65.864,46.042,69.764,21.032,0.323,15.485,36.84
02/01/2025 20:00,1,0,0,0,25.862,61.854,67.052,129.775,12.032,0.334,14.655,27.021
02/01/2025 21:00,1,0,0,0,21.082,43.681,49.428,451.635,17.837,1.788,9.993,29.618
02/01/2025 22:00,1,0,0,0,3.421,78.632,59.735,133.065,15.212,0.0,18.08,33.292
02/01/2025 23:00,1,0,0,0,16.199,72.48,59.538,8.222,9.688,0.105,10.599,20.392
03/01/2025 00:00,1,0,0,0,24.755,66.952,40.821,7.909,11.419,0.0,12.651,24.07
03/01/2025 01:00,1,0,0,0,16.506,48.614,59.001,5.737,10.877,0.107,28.929,39.913
03/01/2025 02:00,1,0,0,0,7.223,67.822,50.918,4.673,11.318,0.12,7.675,19.113
03/01/2025 03:00,1,0,0,0,8.897,70.81,8.044,3.144,11.745,0.029,11.214,22.988
03/01/2025 04:00,1,0,0,0,10.884,62.812,47.246,4.001,12.725,0.079,11.912,24.716
03/01/2025 05:00,1,0,0,0,18.554,71.004,35.379,1.702,11.103,0.105,15.609,26.817
03/01/2025 06:00,1,0,0,0,33.0,73.101,35.666,3.905,10.824,0.061,7.628,18.513
03/01/2025 07:00,1,0,0,0,17.859,62.886,47.9,68.269,46.321,4.647,18.974,69.942
03/01/2025 08:00,1,0,0,0,13.659,69.398,55.602,385.179,20.086,3.651,20.868,44.605
03/01/2025 09:00,1,0,0,0,25.672,64.01,76.58,0.0,16.955,0.0,18.067,35.022
03/01/2025 10:00,1,0,0,0,12.86,72.681,27.49,39.849,29.607,5.427,13.591,48.625
03/01/2025 11:00,1,0,0,0,16.113,74.348,74.882,370.176,41.004,2.979,11.604,55.587
03/01/2025 12:00,1,0,0,0,11.989,62.73,59.707,95.561,43.625,1.194,20.184,65.003
03/01/2025 13:00,1,0,0,0,11.356,75.254,55.856,484.538,8.632,5.817,10.102,24.551
03/01/2025 14:00,1,0,0,0,20.989,72.01,81.46,199.766,16.892,1.713,19.791,38.396
03/01/2025 15:00,1,0,0,0,4.967,63.377,17.856,584.657,3.692,1.79,10.687,16.169
03/01/2025 16:00,1,0,0,0,23.485,68.418,94.143,430.656,40.985,3.718,18.808,63.511
03/01/2025 17:00,1,0,0,0,20.303,73.205,33.541,121.725,21.629,2.759,23.015,47.403
03/01/2025 18:00,1,0,0,0,15.277,77.779,69.817,437.84,25.417,1.753,28.679,55.849
03/01/2025 19:00,1,0,0,0,19.556,68.841,82.905,148.939,13.702,1.966,10.709,26.377
03/01/2025 20:00,1,0,0,0,19.738,68.175,60.1,217.716,11.008,2.09,9.608,22.706
03/01/2025 21:00,1,0,0,0,19.076,68.0,29.279,0.0,12.447,2.794,11.084,26.325
03/01/2025 22:00,1,0,0,0,11.543,69.039,81.455,309.045,10.626,3.322,6.377,20.325
03/01/2025 23:00,1,0,0,0,24.13,66.802,44.366,9.848,12.814,0.052,27.358,40.224
04/01/2025 00:00,1,0,0,0,19.211,71.123,47.753,1.459,9.998,0.062,22.714,32.774
04/01/2025 01:00,1,0,0,0,13.351,58.076,76.696,8.597,11.587,0.099,15.663,27.349
04/01/2025 02:00,1,0,0,0,17.263,60.842,48.082,14.574,9.772,0.102,14.117,23.991
04/01/2025 03:00,1,0,0,0,27.942,59.176,76.346,12.998,10.846,0.057,16.818,27.721
04/01/2025 04:00,1,0,0,0,11.513,67.287,32.661,1.521,9.71,0.064,23.149,32.923
04/01/2025 05:00,1,0,0,0,16.674,72.668,57.874,9.222,11.847,0.06,24.593,36.5
04/01/2025 06:00,1,0,0,0,8.435,70.603,90.136,0.0,10.833,0.091,14.584,25.508
04/01/2025 07:00,1,0,0,0,12.094,66.197,42.325,278.948,16.346,2.141,13.302,31.789
04/01/2025 08:00,1,0,0,0,15.236,52.458,47.178,0.0,24.315,1.378,18.903,44.596
