Time,Winter,Spring,Summer,Fall,Outdoor Temp (°C),Humidity (%),Cloud Cover (%),Occupancy,Special Equipment [kW],Lighting [kW],HVAC [kW],Use [kW]
01/01/2025 00:00,1,0,0,0,14.874,77.247,33.385,1.96,1.314,0.085,1.222,2.621
01/01/2025 01:00,1,0,0,0,12.057,71.578,30.542,1.082,1.376,0.393,1.251,3.02
01/01/2025 02:00,1,0,0,0,15.497,64.348,52.603,1.839,1.556,0.199,0.556,2.311
01/01/2025 03:00,1,0,0,0,5.887,75.318,87.328,1.136,0.932,0.169,1.163,2.264
01/01/2025 04:00,1,0,0,0,16.245,63.364,28.018,1.66,1.139,0.313,0.507,1.959
01/01/2025 05:00,1,0,0,0,15.824,50.635,29.23,1.51,1.088,0.171,1.039,2.298
01/01/2025 06:00,1,0,0,0,13.546,65.579,71.841,1.609,1.233,0.087,0.982,2.302
01/01/2025 07:00,1,0,0,0,31.07,56.972,59.73,1.941,0.941,0.089,1.799,2.829
01/01/2025 08:00,1,0,0,0,13.724,71.674,39.349,1.331,0.8,0.086,1.009,1.895
01/01/2025 09:00,1,0,0,0,13.165,64.396,87.79,2.349,1.454,0.28,1.206,2.94
01/01/2025 10:00,1,0,0,0,18.626,76.262,61.241,2.018,1.703,0.0,0.49,2.193
01/01/2025 11:00,1,0,0,0,4.893,62.037,57.636,2.151,0.825,0.129,1.605,2.559
01/01/2025 12:00,1,0,0,0,19.836,55.917,60.374,1.99,1.005,0.073,0.877,1.955
01/01/2025 13:00,1,0,0,0,15.351,61.632,55.275,3.139,1.607,0.088,1.584,3.279
01/01/2025 14:00,1,0,0,0,23.202,83.216,110.75,3.198,1.267,0.178,1.687,3.132
01/01/2025 15:00,1,0,0,0,28.005,63.994,93.594,0.642,1.622,0.198,1.313,3.133
01/01/2025 16:00,1,0,0,0,17.87,73.139,37.102,1.447,1.853,0.251,0.785,2.889
01/01/2025 17:00,1,0,0,0,14.047,62.445,90.652,1.693,1.023,0.077,0.895,1.995
01/01/2025 18:00,1,0,0,0,16.388,60.476,44.382,1.413,1.113,0.168,1.208,2.489
01/01/2025 19:00,1,0,0,0,20.918,61.809,68.412,1.192,1.07,0.212,0.53,1.812
01/01/2025 20:00,1,0,0,0,1.631,68.082,36.5,0.906,0.964,0.042,0.617,1.623
01/01/2025 21:00,1,0,0,0,18.824,59.644,56.766,1.366,0.982,0.183,0.556,1.721
01/01/2025 22:00,1,0,0,0,31.779,65.857,21.692,1.155,1.08,0.215,1.492,2.787
01/01/2025 23:00,1,0,0,0,11.145,58.676,75.547,1.959,1.319,0.135,1.37,2.824
02/01/2025 00:00,1,0,0,0,12.0,59.058,58.661,1.143,0.899,0.148,0.865,1.912
02/01/2025 01:00,1,0,0,0,16.277,76.55,62.424,1.314,1.093,0.133,1.144,2.37
02/01/2025 02:00,1,0,0,0,16.959,57.036,24.109,1.136,0.853,0.107,1.522,2.482
02/01/2025 03:00,1,0,0,0,16.74,80.546,26.606,1.156,0.862,0.237,1.51,2.609
02/01/2025 04:00,1,0,0,0,19.492,76.193,44.874,1.28,0.935,0.172,0.553,1.66
02/01/2025 05:00,1,0,0,0,9.771,59.307,55.3,0.428,1.078,0.187,1.592,2.857
02/01/2025 06:00,1,0,0,0,29.298,52.356,62.46,1.188,1.115,0.105,1.197,2.417
02/01/2025 07:00,1,0,0,0,20.074,67.946,53.732,2.018,0.754,0.143,0.521,1.418
02/01/2025 08:00,1,0,0,0,16.216,66.334,43.096,1.674,1.504,0.102,1.51,3.116
02/01/2025 09:00,1,0,0,0,31.352,69.311,44.152,2.515,1.579,0.131,1.158,2.868
02/01/2025 10:00,1,0,0,0,14.816,65.462,68.798,1.382,1.284,0.152,0.661,2.097
02/01/2025 11:00,1,0,0,0,24.279,74.396,57.181,1.227,1.333,0.175,1.099,2.607
02/01/2025 12:00,1,0,0,0,24.073,67.787,48.804,4.231,1.369,0.114,0.633,2.116
02/01/2025 13:00,1,0,0,0,13.535,68.795,69.774,2.233,1.487,0.13,1.85,3.467
02/01/2025 14:00,1,0,0,0,20.275,76.47,46.471,1.75,1.18,0.083,1.128,2.391
02/01/2025 15:00,1,0,0,0,29.488,59.23,20.646,1.886,1.504,0.165,0.912,2.581
02/01/2025 16:00,1,0,0,0,25.432,57.386,39.057,1.447,1.214,0.153,1.115,2.482
02/01/2025 17:00,1,0,0,0,18.472,59.794,48.8,1.516,1.372,0.093,1.529,2.994
02/01/2025 18:00,1,0,0,0,2.243,70.952,26.633,1.58,0.829,0.094,1.104,2.027
02/01/2025 19:00,1,0,0,0,12.469,71.546,34.436,1.826,1.407,0.126,0.682,2.215
02/01/2025 20:00,1,0,0,0,16.619,63.564,63.474,1.914,1.62,0.101,1.142,2.863
02/01/2025 21:00,1,0,0,0,15.253,62.149,12.302,1.205,1.449,0.241,0.846,2.536
02/01/2025 22:00,1,0,0,0,26.382,77.896,71.062,1.06,1.348,0.167,1.052,2.567
02/01/2025 23:00,1,0,0,0,25.025,62.889,80.405,1.595,1.378,0.278,0.809,2.465
03/01/2025 00:00,1,0,0,0,25.518,68.252,56.916,1.882,1.247,0.251,0.68,2.178
03/01/2025 01:00,1,0,0,0,5.919,58.787,31.359,1.224,0.949,0.215,1.403,2.567
03/01/2025 02:00,1,0,0,0,11.888,67.816,23.756,1.551,1.019,0.181,1.445,2.645
03/01/2025 03:00,1,0,0,0,26.376,60.315,81.963,1.075,1.428,0.198,0.951,2.577
03/01/2025 04:00,1,0,0,0,14.882,69.627,39.863,0.63,1.232,0.174,0.526,1.932
03/01/2025 05:00,1,0,0,0,10.521,59.088,36.391,1.223,1.047,0.131,1.284,2.462
03/01/2025 06:00,1,0,0,0,4.742,66.957,67.903,0.302,0.941,0.188,0.91,2.039
03/01/2025 07:00,1,0,0,0,20.878,58.886,42.034,1.151,0.918,0.013,1.234,2.165
03/01/2025 08:00,1,0,0,0,3.137,56.408,36.825,1.212,1.055,0.025,0.887,1.967
03/01/2025 09:00,1,0,0,0,23.894,62.225,50.779,2.399,0.952,0.175,1.315,2.442
03/01/2025 10:00,1,0,0,0,8.438,70.431,65.608,3.2,1.46,0.15,0.982,2.592
03/01/2025 11:00,1,0,0,0,16.403,64.172,74.111,1.768,1.572,0.089,0.574,2.235
03/01/2025 12:00,1,0,0,0,25.703,72.963,48.318,1.56,1.845,0.159,1.566,3.57
03/01/2025 13:00,1,0,0,0,21.23,71.955,87.613,1.53,1.264,0.114,0.728,2.106
03/01/2025 14:00,1,0,0,0,23.284,57.276,28.137,2.223,1.637,0.046,0.697,2.38
03/01/2025 15:00,1,0,0,0,23.723,58.959,80.224,1.839,0.997,0.158,0.832,1.987
03/01/2025 16:00,1,0,0,0,16.303,69.353,34.793,1.261,1.542,0.0,0.658,2.2
03/01/2025 17:00,1,0,0,0,18.913,55.684,71.395,1.983,1.23,0.102,0.59,1.922
03/01/2025 18:00,1,0,0,0,18.562,73.624,59.004,0.499,1.554,0.08,0.701,2.335
03/01/2025 19:00,1,0,0,0,9.927,67.99,86.715,1.196,0.567,0.247,1.13,1.944
03/01/2025 20:00,1,0,0,0,15.513,58.906,64.067,1.457,1.356,0.212,0.473,2.041
03/01/2025 21:00,1,0,0,0,13.231,67.402,23.117,1.022,1.034,0.155,1.426,2.615
03/01/2025 22:00,1,0,0,0,39.178,57.239,40.038,1.442,1.059,0.086,0.596,1.741
03/01/2025 23:00,1,0,0,0,20.867,63.451,56.622,0.927,0.795,0.102,0.711,1.608
04/01/2025 00:00,1,0,0,0,32.009,58.714,63.975,1.619,1.185,0.334,1.709,3.228
04/01/2025 01:00,1,0,0,0,13.717,63.387,37.739,1.344,0.744,0.104,0.453,1.301
04/01/2025 02:00,1,0,0,0,18.161,71.893,55.722,0.958,1.172,0.177,1.428,2.777
04/01/2025 03:00,1,0,0,0,17.274,68.59,84.435,1.21,1.928,0.218,0.888,3.034
04/01/2025 04:00,1,0,0,0,20.22,54.31,57.498,1.186,1.257,0.304,0.459,2.02
04/01/2025 05:00,1,0,0,0,27.021,62.183,42.561,1.322,1.411,0.165,1.581,3.157
04/01/2025 06:00,1,0,0,0,9.411,74.355,36.355,1.667,1.058,0.102,1.37,2.53
04/01/2025 07:00,1,0,0,0,13.034,65.173,73.721,1.614,1.304,0.099,0.92,2.323
04/01/2025 08:00,1,0,0,0,20.648,60.187,47.036,0.837,1.201,0.052,0.788,2.041
04/01/2025 09:00,1,0,0,0,48.297,56.318,84.334,2.042,1.073,0.166,1.899,3.138
04/01/2025 10:00,1,0,0,0,10.009,72.289,57.323,2.404,0.872,0.174,0.882,1.928
04/01/2025 11:00,1,0,0,0,16.998,64.742,95.147,2.076,1.197,0.162,1.596,2.955
04/01/2025 12:00,1,0,0,0,28.973,63.918,45.681,3.285,1.115,0.107,0.384,1.606
04/01/2025 13:00,1,0,0,0,28.916,58.704,95.355,2.605,1.421,0.091,0.562,2.074
04/01/2025 14:00,1,0,0,0,17.272,58.067,40.027,2.172,1.477,0.136,1.084,2.697
04/01/2025 15:00,1,0,0,0,19.023,68.164,55.804,1.883,1.234,0.167,1.101,2.502
04/01/2025 16:00,1,0,0,0,16.24,74.708,33.681,2.008,1.448,0.33,1.167,2.945
04/01/2025 17:00,1,0,0,0,1.815,72.366,102.002,1.636,1.613,0.008,0.251,1.872
04/01/2025 18:00,1,0,0,0,42.602,74.226,85.057,1.278,1.276,0.092,1.199,2.567
04/01/2025 19:00,1,0,0,0,24.253,68.749,55.627,1.884,1.057,0.154,0.444,1.655
04/01/2025 20:00,1,0,0,0,30.855,86.384,19.341,1.058,0.947,0.137,1.002,2.086
04/01/2025 21:00,1,0,0,0,0.0,75.243,62.118,1.357,0.871,0.231,0.085,1.187
04/01/2025 22:00,1,0,0,0,27.967,73.968,22.325,1.433,1.279,0.209,0.741,2.229
04/01/2025 23:00,1,0,0,0,9.627,69.775,54.709,0.975,1.036,0.136,1.215,2.387
05/01/2025 00:00,1,0,0,0,19.356,87.114,54.692,1.446,1.663,0.224,0.872,2.759
05/01/2025 01:00,1,0,0,0,12.606,60.69,36.286,1.391,0.843,0.281,1.453,2.577
05/01/2025 02:00,1,0,0,0,24.459,58.213,67.393,1.648,1.064,0.127,0.594,1.785
05/01/2025 03:00,1,0,0,0,5.446,80.573,0.0,0.672,1.301,0.258,1.008,2.567
05/01/2025 04:00,1,0,0,0,23.108,54.711,60.852,1.442,1.23,0.385,1.202,2.817
05/01/2025 05:00,1,0,0,0,13.048,65.998,61.871,1.196,0.887,0.074,1.584,2.545
05/01/2025 06:00,1,0,0,0,18.426,66.518,49.66,1.633,1.252,0.128,0.639,2.019
05/01/2025 07:00,1,0,0,0,8.752,62.731,65.459,1.357,1.712,0.104,0.867,2.683
05/01/2025 08:00,1,0,0,0,23.466,60.034,70.954,1.622,1.197,0.119,1.067,2.383
05/01/2025 09:00,1,0,0,0,15.907,70.219,71.044,2.893,1.416,0.251,1.084,2.751
05/01/2025 10:00,1,0,0,0,27.068,64.615,32.98,2.264,1.18,0.243,0.43,1.853
05/01/2025 11:00,1,0,0,0,11.875,61.36,55.612,1.466,1.299,0.214,1.511,3.024
05/01/2025 12:00,1,0,0,0,12.755,62.37,20.016,2.031,1.163,0.095,0.79,2.048
