Time,Winter,Spring,Summer,Fall,Outdoor Temp (°C),Humidity (%),Cloud Cover (%),Occupancy,Special Equipment [kW],Lighting [kW],HVAC [kW],Use [kW]
01/01/2025 00:00,1,0,0,0,12.941,69.777,65.485,24.338,24.184,0.815,39.267,64.266
01/01/2025 01:00,1,0,0,0,10.371,70.791,54.788,34.775,27.086,1.854,19.902,48.842
01/01/2025 02:00,1,0,0,0,0.0,64.222,32.26,14.642,26.787,2.618,3.235,32.64
01/01/2025 03:00,1,0,0,0,3.643,76.577,1.063,43.455,22.397,4.228,45.846,72.471
01/01/2025 04:00,1,0,0,0,18.524,66.63,0.0,37.707,30.61,5.312,34.436,70.358
01/01/2025 05:00,1,0,0,0,24.978,76.115,99.414,36.597,23.936,0.992,27.931,52.859
01/01/2025 06:00,1,0,0,0,8.748,77.216,64.301,62.815,29.788,0.153,14.56,44.501
01/01/2025 07:00,1,0,0,0,26.689,64.834,48.29,174.867,37.964,0.363,29.865,68.192
01/01/2025 08:00,1,0,0,0,19.652,61.159,76.255,166.465,38.6,9.988,29.509,78.097
01/01/2025 09:00,1,0,0,0,21.775,66.89,82.803,344.135,24.575,10.662,40.602,75.839
01/01/2025 10:00,1,0,0,0,25.015,53.644,67.241,35.988,75.09,7.958,50.322,133.37
01/01/2025 11:00,1,0,0,0,20.755,65.941,13.241,290.578,104.589,6.124,23.557,134.27
01/01/2025 12:00,1,0,0,0,8.798,67.088,52.98,0.0,55.063,3.062,38.377,96.502
01/01/2025 13:00,1,0,0,0,4.989,73.918,3.531,90.971,80.516,0.96,38.371,119.847
01/01/2025 14:00,1,0,0,0,32.289,67.272,81.799,31.427,29.149,4.851,19.513,53.513
01/01/2025 15:00,1,0,0,0,31.26,75.019,50.948,164.077,0.0,4.687,58.499,63.186
01/01/2025 16:00,1,0,0,0,13.489,73.147,72.256,147.988,16.197,16.025,18.705,50.927
01/01/2025 17:00,1,0,0,0,6.416,47.639,63.355,253.236,30.606,2.044,16.973,49.623
01/01/2025 18:00,1,0,0,0,19.486,65.45,52.474,55.598,26.114,3.726,10.908,40.748
01/01/2025 19:00,1,0,0,0,33.304,65.86,96.72,40.282,27.204,2.818,53.225,83.247
01/01/2025 20:00,1,0,0,0,23.186,72.669,66.586,70.915,16.682,0.864,34.93,52.476
01/01/2025 21:00,1,0,0,0,29.992,67.946,53.816,0.0,28.753,0.0,47.739,76.492
01/01/2025 22:00,1,0,0,0,31.822,53.167,64.699,75.972,25.651,5.152,54.288,85.091
01/01/2025 23:00,1,0,0,0,16.584,58.957,37.42,35.248,28.659,3.381,39.765,71.805
02/01/2025 00:00,1,0,0,0,5.323,67.507,47.807,25.395,27.505,3.004,59.493,90.002
02/01/2025 01:00,1,0,0,0,5.204,65.008,30.919,45.123,28.952,2.67,39.701,71.323
02/01/2025 02:00,1,0,0,0,31.867,54.801,68.953,19.739,29.809,2.014,40.984,72.807
02/01/2025 03:00,1,0,0,0,4.761,68.703,65.582,0.0,20.806,0.301,22.015,43.122
02/01/2025 04:00,1,0,0,0,24.479,57.714,26.42,34.375,25.273,2.78,33.018,61.071
02/01/2025 05:00,1,0,0,0,14.932,74.557,91.955,10.016,22.171,4.582,34.68,61.433
02/01/2025 06:00,1,0,0,0,13.401,59.478,85.974,45.798,32.823,0.881,35.773,69.477
02/01/2025 07:00,1,0,0,0,10.23,62.531,37.027,124.188,43.672,5.06,45.55,94.282
02/01/2025 08:00,1,0,0,0,7.241,60.739,85.801,270.313,50.949,0.0,34.889,85.838
02/01/2025 09:00,1,0,0,0,24.361,62.764,68.46,78.983,66.516,11.548,29.573,107.637
02/01/2025 10:00,1,0,0,0,18.435,67.899,50.657,0.0,57.416,12.612,37.726,107.754
02/01/2025 11:00,1,0,0,0,24.361,56.079,19.598,10.006,66.729,3.575,29.34,99.644
02/01/2025 12:00,1,0,0,0,3.68,60.254,78.335,153.025,71.096,4.414,21.381,96.891
02/01/2025 13:00,1,0,0,0,14.811,61.639,63.43,419.004,45.662,4.687,33.436,83.785
02/01/2025 14:00,1,0,0,0,25.258,60.06,21.147,121.53,62.99,7.036,18.515,88.541
02/01/2025 15:00,1,0,0,0,16.779,77.862,67.962,98.656,62.642,0.489,15.581,78.712
02/01/2025 16:00,1,0,0,0,19.401,59.532,30.299,0.0,83.517,0.785,35.995,120.297
02/01/2025 17:00,1,0,0,0,6.908,79.535,83.976,73.383,50.862,3.596,23.962,78.42
02/01/2025 18:00,1,0,0,0,12.214,62.199,50.557,88.847,49.146,5.421,35.037,89.604
02/01/2025 19:00,1,0,0,0,25.057,65.349,71.016,70.662,25.19,0.0,51.934,77.124
02/01/2025 20:00,1,0,0,0,23.61,68.495,38.283,58.077,37.362,0.949,25.676,63.987
02/01/2025 21:00,1,0,0,0,27.266,61.347,43.842,92.294,25.526,0.786,34.062,60.374
02/01/2025 22:00,1,0,0,0,15.206,66.915,61.489,40.929,22.897,2.561,45.772,71.23
02/01/2025 23:00,1,0,0,0,25.134,64.311,53.694,53.95,26.917,2.958,8.806,38.681
03/01/2025 00:00,1,0,0,0,19.165,60.359,34.108,17.838,29.839,2.061,24.329,56.229
03/01/2025 01:00,1,0,0,0,23.732,73.644,32.346,50.634,28.682,1.824,21.491,51.997
03/01/2025 02:00,1,0,0,0,21.528,57.384,63.84,36.45,30.072,0.558,28.101,58.731
