Time,Winter,Spring,Summer,Fall,Outdoor Temp (°C),Humidity (%),Cloud Cover (%),Occupancy,Special Equipment [kW],Lighting [kW],HVAC [kW],Use [kW]
01/01/2025 00:00,1,0,0,0,11.399,57.215,66.112,18.229,6.633,0.272,13.675,20.58
01/01/2025 01:00,1,0,0,0,19.204,66.262,22.997,5.598,6.505,0.07,12.745,19.32
01/01/2025 02:00,1,0,0,0,9.108,59.385,14.645,19.892,6.389,0.026,17.036,23.451
01/01/2025 03:00,1,0,0,0,29.585,67.443,41.315,23.62,6.875,0.272,19.921,27.068
01/01/2025 04:00,1,0,0,0,29.165,76.541,37.394,6.679,7.006,0.346,12.49,19.842
01/01/2025 05:00,1,0,0,0,19.102,65.351,41.587,21.0,6.502,0.063,11.024,17.589
01/01/2025 06:00,1,0,0,0,17.579,64.925,86.533,13.485,5.924,0.313,7.511,13.748
01/01/2025 07:00,1,0,0,0,30.735,51.186,46.465,205.759,23.105,0.0,6.782,29.887
01/01/2025 08:00,1,0,0,0,12.164,74.568,95.843,88.52,13.89,0.0,6.156,20.046
01/01/2025 09:00,1,0,0,0,24.257,79.975,42.447,280.187,11.12,1.339,2.073,14.532
01/01/2025 10:00,1,0,0,0,13.787,75.124,52.939,0.0,17.71,1.186,6.309,25.205
01/01/2025 11:00,1,0,0,0,29.518,63.273,26.775,22.896,23.024,2.145,15.166,40.335
01/01/2025 12:00,1,0,0,0,11.412,67.807,60.026,235.833,31.336,1.125,10.164,42.625
01/01/2025 13:00,1,0,0,0,13.173,71.949,69.454,19.303,27.002,2.391,21.267,50.66
01/01/2025 14:00,1,0,0,0,8.207,61.526,28.902,176.296,24.03,3.403,11.658,39.091
01/01/2025 15:00,1,0,0,0,8.493,60.667,73.796,54.642,10.087,0.0,10.712,20.799
01/01/2025 16:00,1,0,0,0,19.926,64.766,46.931,74.45,11.415,3.555,6.908,21.878
01/01/2025 17:00,1,0,0,0,15.964,70.064,81.01,138.044,8.756,2.628,6.285,17.669
01/01/2025 18:00,1,0,0,0,17.076,58.887,4.186,219.454,10.599,1.065,7.368,19.032
01/01/2025 19:00,1,0,0,0,10.234,61.444,68.574,41.093,6.392,0.823,9.344,16.559
01/01/2025 20:00,1,0,0,0,35.894,71.18,31.301,20.145,12.278,1.667,11.564,25.509
01/01/2025 21:00,1,0,0,0,16.651,55.599,38.695,34.287,7.289,1.036,9.709,18.034
01/01/2025 22:00,1,0,0,0,12.761,64.276,37.543,53.133,7.224,1.551,11.521,20.296
01/01/2025 23:00,1,0,0,0,9.304,73.819,29.146,5.173,5.654,0.154,10.646,16.454
02/01/2025 00:00,1,0,0,0,11.898,65.432,44.326,2.322,5.508,0.25,7.036,12.794
02/01/2025 01:00,1,0,0,0,17.689,63.708,80.538,16.649,6.319,0.287,12.687,19.293
02/01/2025 02:00,1,0,0,0,15.283,65.271,71.327,5.38,6.486,0.211,8.997,15.694
02/01/2025 03:00,1,0,0,0,1.458,54.435,100.8,0.0,6.114,0.059,8.183,14.356
02/01/2025 04:00,1,0,0,0,27.414,57.073,37.427,10.767,6.273,0.294,3.614,10.181
02/01/2025 05:00,1,0,0,0,6.512,68.512,41.66,5.821,6.192,0.579,6.827,13.598
02/01/2025 06:00,1,0,0,0,7.782,74.425,68.185,19.674,6.149,0.19,4.091,10.43
02/01/2025 07:00,1,0,0,0,21.844,61.019,49.501,188.951,15.902,0.0,11.699,27.601
02/01/2025 08:00,1,0,0,0,19.757,77.58,66.73,8.916,10.929,1.744,7.941,20.614
02/01/2025 09:00,1,0,0,0,19.68,55.688,49.066,0.0,14.586,2.019,6.013,22.618
02/01/2025 10:00,1,0,0,0,24.709,50.952,53.899,129.178,14.879,1.609,9.233,25.721
02/01/2025 11:00,1,0,0,0,15.339,63.343,40.697,62.523,8.192,3.143,11.943,23.278
02/01/2025 12:00,1,0,0,0,5.234,60.478,58.629,0.0,15.41,7.033,11.033,33.476
02/01/2025 13:00,1,0,0,0,23.258,63.596,73.56,0.0,0.491,1.152,6.552,8.195
02/01/2025 14:00,1,0,0,0,7.408,79.567,94.61,272.768,15.375,1.658,11.79,28.823
02/01/2025 15:00,1,0,0,0,23.387,81.572,79.036,0.0,21.22,0.0,8.215,29.435
02/01/2025 16:00,1,0,0,0,15.084,55.141,104.236,215.897,33.433,1.725,1.063,36.221
02/01/2025 17:00,1,0,0,0,22.394,71.961,56.442,75.86,14.13,0.0,11.06,25.19
02/01/2025 18:00,1,0,0,0,18.47,52.882,46.056,162.313,18.948,0.902,11.511,31.361
02/01/2025 19:00,1,0,0,0,19.53,67.705,65.101,0.0,10.641,0.0,8.199,18.84
02/01/2025 20:00,1,0,0,0,3.738,66.102,89.564,105.477,6.202,0.901,12.088,19.191
